Model,Dataset,Schedule,Total_Epochs,Total_Time_Hours,Total_Time_Days,Computational_Savings_%,Rounds_Completed
LSTM,CatsDogs,Moderate,3600,2.06,0.09,64.00,4
LSTM,CatsDogs,Aggressive,3100,1.80,0.07,69.00,3
LSTM,CatsDogs,Conservative,12500,7.12,0.30,-25.00,5
LSTM,CatsDogs,VeryAggressive,5600,3.32,0.14,44.00,3
LSTM,CatsDogs,Standard,3420,1.90,0.08,65.80,7
LSTM,ChlorineConcentration,Moderate,3600,0.74,0.03,64.00,4
LSTM,ChlorineConcentration,Aggressive,3100,0.64,0.03,69.00,3
LSTM,ChlorineConcentration,Conservative,12500,2.51,0.10,-25.00,5
LSTM,ChlorineConcentration,VeryAggressive,5600,1.17,0.05,44.00,3
LSTM,ChlorineConcentration,Standard,3420,0.69,0.03,65.80,7
LSTM,CinCECGTorso,Moderate,3600,1.97,0.08,64.00,4
LSTM,CinCECGTorso,Aggressive,3100,1.72,0.07,69.00,3
LSTM,CinCECGTorso,Conservative,12500,6.65,0.28,-25.00,5
LSTM,CinCECGTorso,VeryAggressive,5600,3.17,0.13,44.00,3
LSTM,CinCECGTorso,Standard,3420,1.82,0.08,65.80,7
LSTM,CounterMovementJump,Moderate,3600,4.37,0.18,64.00,4
LSTM,CounterMovementJump,Aggressive,3100,3.82,0.16,69.00,3
LSTM,CounterMovementJump,Conservative,12500,15.04,0.63,-25.00,5
LSTM,CounterMovementJump,VeryAggressive,5600,7.04,0.29,44.00,3
LSTM,CounterMovementJump,Standard,3420,4.04,0.17,65.80,7
LSTM,DucksAndGeese,Moderate,3600,0.58,0.02,64.00,4
LSTM,DucksAndGeese,Aggressive,3100,0.51,0.02,69.00,3
LSTM,DucksAndGeese,Conservative,12500,1.99,0.08,-25.00,5
LSTM,DucksAndGeese,VeryAggressive,5600,0.94,0.04,44.00,3
LSTM,DucksAndGeese,Standard,3420,0.53,0.02,65.80,7
LSTM,EigenWorms,Moderate,3600,1.35,0.06,64.00,4
