activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
relu,0.0589211467474,485,425,0.0004939244837,8,4,max,CinCECGTorso,0.275,0.2375,0.3375,0.2625,0.3125,0.2125,0.3,0.4125,0.3375,0.3125,0.3875,0.25,0.375,0.4375,0.4125,0.3375,0.4625,0.4,0.3625,0.4375
gelu,0.1894201741382,374,347,3.86354961e-05,8,4,max,CinCECGTorso,0.2875,0.3875,0.3,0.35,0.375,0.375,0.325,0.35,0.375,0.3625,0.4,0.4125,0.375,0.4125,0.4125,0.3875,0.4,0.4125,0.4,0.4125
relu,0.1241237502029,411,134,0.0008626393329,8,5,mean,CinCECGTorso,0.3625,0.325,0.375,0.2875,0.25,0.25,0.225,0.2875,0.3,0.3625,0.375,0.375,0.35,0.35,0.3375,0.4,0.375,0.4,0.4375,0.375
relu,0.0175477277622,783,76,0.0009619938868,5,1,max,CinCECGTorso,0.275,0.275,0.4125,0.225,0.3,0.375,0.275,0.2375,0.3375,0.3375,0.3125,0.2625,0.3875,0.3125,0.3125,0.325,0.375,0.3625,0.3375,0.325
gelu,0.2871199935179,772,123,0.0001626511779,7,1,max,CinCECGTorso,0.25,0.2625,0.2875,0.3375,0.3625,0.375,0.3125,0.3,0.325,0.35,0.325,0.35,0.3625,0.4125,0.4,0.4,0.3625,0.35,0.3875,0.4
gelu,0.164840434563,390,391,1.42123626e-05,4,5,max,CinCECGTorso,0.25,0.3375,0.275,0.225,0.2375,0.2375,0.225,0.25,0.2375,0.25,0.2625,0.25,0.2625,0.2375,0.2375,0.25,0.2625,0.2625,0.275,0.275
relu,0.0261343341588,303,301,8.35792084e-05,5,1,max,CinCECGTorso,0.275,0.2375,0.225,0.325,0.425,0.3375,0.2875,0.3,0.425,0.3375,0.2625,0.2875,0.35,0.325,0.275,0.275,0.3125,0.2875,0.3,0.3375
relu,0.1220148250679,400,187,0.0002659504393,4,2,max,CinCECGTorso,0.2875,0.2125,0.3,0.2125,0.1625,0.175,0.25,0.3125,0.325,0.2625,0.25,0.2625,0.3625,0.4125,0.3375,0.3375,0.3625,0.3375,0.3,0.325
gelu,0.2627717611464,631,488,0.0005312648878,4,4,mean,CinCECGTorso,0.25,0.3375,0.325,0.25,0.175,0.375,0.25,0.3625,0.3375,0.35,0.3875,0.275,0.3625,0.35,0.3375,0.3875,0.4,0.4375,0.4625,0.4625
gelu,0.2249691004691,443,70,0.0001979197055,4,3,mean,CinCECGTorso,0.25,0.25,0.25,0.3125,0.2,0.225,0.2625,0.225,0.2,0.2,0.25,0.2625,0.325,0.325,0.2875,0.2875,0.25,0.2875,0.25,0.2625
relu,0.0119821770695,309,161,6.83439573e-05,2,5,max,CinCECGTorso,0.2,0.2125,0.3625,0.3125,0.2625,0.2625,0.2875,0.325,0.2875,0.3,0.275,0.275,0.275,0.275,0.2625,0.275,0.275,0.2875,0.275,0.2625
gelu,0.085929710744,588,222,0.0001061877299,3,2,mean,CinCECGTorso,0.25,0.275,0.25,0.3625,0.2625,0.275,0.3,0.3375,0.3125,0.3375,0.3875,0.3875,0.3375,0.375,0.3625,0.3625,0.425,0.3875,0.425,0.425
gelu,0.068110276744,279,444,1.63705046e-05,8,6,mean,CinCECGTorso,0.275,0.2375,0.2125,0.2375,0.2875,0.3,0.275,0.2,0.2,0.2375,0.25,0.3125,0.275,0.2875,0.2875,0.3125,0.275,0.3,0.325,0.3
gelu,0.0010936313822,301,310,4.33077252e-05,3,6,mean,CinCECGTorso,0.25,0.275,0.3375,0.275,0.3125,0.2125,0.4125,0.4,0.3125,0.325,0.325,0.375,0.3875,0.425,0.425,0.4,0.375,0.3875,0.4125,0.4125
relu,0.0740313187916,391,325,0.0001399254532,3,6,max,CinCECGTorso,0.1625,0.3125,0.4,0.4125,0.3875,0.375,0.3375,0.45,0.3875,0.3375,0.4875,0.45,0.425,0.425,0.45,0.45,0.425,0.45,0.4625,0.5125
